Date,Close,High,Low,Open,Volume,nifty100_return
2022-03-29,17523.599609375,17541.25,17438.400390625,17500.44921875,5555400,0.005823002125190602
2022-03-30,17684.30078125,17718.05078125,17589.150390625,17665.599609375,10715800,0.009170557160472104
2022-03-31,17660.349609375,17752.55078125,17627.349609375,17710.75,5454000,-0.0013543748306065195
2022-04-01,17879.5,17912.69921875,17631.099609375,17643.900390625,5429300,0.012409176232200059
2022-04-04,18256.099609375,18281.94921875,17994.900390625,18010.30078125,6254600,0.02106320698984865
2022-04-05,18195.099609375,18327.75,18159.849609375,18294.25,5742000,-0.003341348990486215
2022-04-06,18075.099609375,18154.05078125,18042.849609375,18089.30078125,6337200,-0.006595182360978669
2022-04-07,17920.80078125,18092.30078125,17906.099609375,18006.650390625,5987800,-0.008536540957426841
2022-04-08,18089.30078125,18144.349609375,17906.55078125,17993.650390625,5269700,0.009402481622154735
2022-04-11,18032.400390625,18114.55078125,17992.94921875,18062.44921875,4857900,-0.003145527365213563
2022-04-12,17877.55078125,17970.94921875,17786.94921875,17965.30078125,5264800,-0.008587298752278483
2022-04-13,17835.19921875,18017.30078125,17816.19921875,17956.19921875,4529400,-0.00236898012586928
2022-04-18,17565.94921875,17615.05078125,17440.599609375,17566.0,5929800,-0.015096551302714922
2022-04-19,17330.400390625,17687.44921875,17199.5,17662.55078125,6494100,-0.013409399355064355
2022-04-20,17496.650390625,17553.94921875,17353.900390625,17425.19921875,4894800,0.009592969363243053
2022-04-21,17750.19921875,17766.900390625,17578.0,17602.599609375,4851400,0.014491278185500889
2022-04-22,17541.099609375,17678.25,17518.849609375,17610.30078125,4338000,-0.011780127467759471
2022-04-25,17300.349609375,17403.900390625,17236.44921875,17373.150390625,5267700,-0.013724909233816196
2022-04-26,17577.80078125,17600.44921875,17429.849609375,17472.099609375,4551700,0.016037315900520932
2022-04-27,17398.55078125,17484.150390625,17321.099609375,17453.55078125,4603900,-0.01019752142095065
2022-04-28,17615.400390625,17687.5,17429.19921875,17557.599609375,4918200,0.012463659307112795
2022-04-29,17457.19921875,17741.400390625,17404.900390625,17703.099609375,5352200,-0.00898084450917136
2022-05-02,17419.44921875,17439.900390625,17269.849609375,17286.650390625,4271300,-0.002162431643642715
2022-05-04,17004.05078125,17483.80078125,16944.55078125,17451.150390625,5465400,-0.023846818133197445
2022-05-05,17016.599609375,17270.599609375,16978.650390625,17186.349609375,4726200,0.0007379905109927698
2022-05-06,16729.55078125,16807.099609375,16654.25,16740.099609375,5738600,-0.016868753729555652
2022-05-09,16581.80078125,16694.599609375,16441.400390625,16549.25,4978800,-0.008831677666180648
2022-05-10,16466.25,16653.849609375,16426.900390625,16533.400390625,5100700,-0.006968530304661491
2022-05-11,16399.69921875,16576.400390625,16204.25,16502.44921875,5929000,-0.004041647688453609
2022-05-12,16023.900390625,16281.0498046875,15946.150390625,16263.2001953125,7339300,-0.02291498295867178
2022-05-13,15986.5,16315.0,15941.099609375,16200.599609375,7101800,-0.0023340378879840307
2022-05-16,16079.0,16199.25,15946.7998046875,16062.650390625,5054100,0.005786132048916315
2022-05-17,16498.5,16522.650390625,16152.5,16166.0,5422800,0.02608993096585599
2022-05-18,16485.80078125,16655.44921875,16461.599609375,16566.69921875,5853700,-0.0007697195957208081
2022-05-19,16047.349609375,16213.099609375,16015.2998046875,16146.7001953125,5455700,-0.02659568544426849
2022-05-20,16476.69921875,16491.099609375,16253.5498046875,16290.2001953125,4642600,0.02675517265007854
2022-05-23,16409.75,16612.150390625,16382.099609375,16504.599609375,6340100,-0.00406326642619137
2022-05-24,16312.2998046875,16460.0,16262.349609375,16428.599609375,6776800,-0.005938554536936924
2022-05-25,16187.150390625,16409.30078125,16167.5,16384.30078125,5676200,-0.007672088887585082
2022-05-26,16341.900390625,16382.849609375,16046.5498046875,16267.599609375,6279300,0.009560052032977051
2022-05-27,16516.80078125,16534.55078125,16388.69921875,16473.30078125,4911300,0.010702573534552728
2022-05-30,16838.150390625,16860.400390625,16672.599609375,16692.19921875,5710200,0.019455923312933443
2022-05-31,16767.5,16883.599609375,16702.44921875,16761.55078125,11446200,-0.004195852215712281
2022-06-01,16688.94921875,16831.19921875,16601.849609375,16772.05078125,5424900,-0.00468470441329949
2022-06-02,16794.75,16810.55078125,16613.650390625,16650.25,4770800,0.006339571165519198
2022-06-03,16721.5,16953.650390625,16705.75,16928.44921875,4274600,-0.004361482010747375
2022-06-06,16701.19921875,16741.19921875,16565.5,16671.30078125,4143700,-0.0012140526418084052
2022-06-07,16550.69921875,16619.05078125,16489.150390625,16602.099609375,4191400,-0.00901132894882406
2022-06-08,16492.19921875,16649.75,16425.80078125,16610.75,4547000,-0.003534593869830349
2022-06-09,16616.400390625,16631.150390625,16374.4501953125,16402.5,4161400,0.007530904170366615
2022-06-10,16353.5,16465.30078125,16322.5498046875,16426.30078125,3753300,-0.015821741438857506
2022-06-13,15936.0498046875,16044.5,15850.849609375,16033.650390625,4205400,-0.02552665761534223
2022-06-14,15905.599609375,16034.5498046875,15822.599609375,15848.9501953125,4544500,-0.0019107743566126878
2022-06-15,15874.900390625,15966.0,15858.349609375,15918.099609375,3383500,-0.001930088742577496
2022-06-16,15543.349609375,16046.0498046875,15518.0,16021.849609375,4981600,-0.020885219629207863
2022-06-17,15445.7998046875,15575.9501953125,15344.5498046875,15452.7998046875,6525700,-0.006275983435942489
2022-06-20,15481.9501953125,15517.7998046875,15336.0498046875,15489.5,5243300,0.002340467381561462
2022-06-21,15793.150390625,15845.4501953125,15558.7001953125,15593.400390625,5215600,0.020100839454109787
2022-06-22,15555.2998046875,15718.349609375,15528.5498046875,15702.4501953125,4415100,-0.015060363515482678
2022-06-23,15704.7998046875,15775.7998046875,15515.7998046875,15594.7998046875,4757900,0.009610872299288475
2022-06-24,15858.2998046875,15895.2998046875,15773.650390625,15809.599609375,4274600,0.009774081930938427
2022-06-27,15990.2998046875,16086.9501953125,15974.400390625,16082.4501953125,4813400,0.008323717020470411
2022-06-28,16008.849609375,16045.0498046875,15857.0,15919.2998046875,5672900,0.0011600660972010957
2022-06-29,15952.75,16013.7998046875,15845.4501953125,15857.099609375,7095800,-0.003504287362543934
2022-06-30,15929.400390625,16047.75,15881.0,15933.9501953125,6154400,-0.0014636729952516303
2022-07-01,15925.9501953125,15966.0498046875,15679.2998046875,15861.599609375,6625000,-0.00021659291799402958
2022-07-04,16018.150390625,16033.900390625,15844.650390625,15894.7001953125,5064700,0.005789305767114339
2022-07-05,16001.599609375,16209.2998046875,15973.349609375,16093.5498046875,4608800,-0.0010332517079928438
2022-07-06,16196.25,16217.2001953125,15990.150390625,16009.2998046875,5097800,0.012164433267718877
2022-07-07,16339.099609375,16355.75,16251.650390625,16322.150390625,5374100,0.008819918769777058
2022-07-08,16424.0,16477.349609375,16353.099609375,16475.849609375,4662900,0.005196148665149503
2022-07-11,16465.099609375,16491.099609375,16331.2001953125,16346.75,4749700,0.002502411676509997
2022-07-12,16323.5,16421.94921875,16293.7998046875,16380.150390625,4689700,-0.008599984982439746
2022-07-13,16237.25,16411.55078125,16220.150390625,16396.94921875,4606600,-0.0052837933041320895
2022-07-14,16213.0498046875,16329.5498046875,16115.650390625,16294.75,4489600,-0.00149041218879431
2022-07-15,16317.2001953125,16334.650390625,16204.0498046875,16287.849609375,4382000,0.006423861758253935
2022-07-18,16548.150390625,16559.19921875,16415.150390625,16423.849609375,4377700,0.014153788183517202
2022-07-19,16614.05078125,16634.349609375,16460.94921875,16460.94921875,4603100,0.00398234177653678
2022-07-20,16773.69921875,16846.94921875,16744.30078125,16829.05078125,5857000,0.009609242177119892
2022-07-21,16881.69921875,16904.400390625,16737.80078125,16777.25,4442000,0.006438651283270591
2022-07-22,16970.69921875,17002.900390625,16872.400390625,16940.19921875,3807900,0.005271981146373506
2022-07-25,16892.099609375,16960.30078125,16825.44921875,16924.30078125,6138900,-0.004631489154445667
2022-07-26,16733.30078125,16899.0,16710.0,16896.400390625,7857700,-0.009400775024844599
2022-07-27,16889.55078125,16900.94921875,16687.25,16724.0,7368300,0.009337667567362429
2022-07-28,17169.69921875,17186.400390625,16985.150390625,17016.099609375,8653400,0.01658708636650119
2022-07-29,17400.75,17413.849609375,17266.0,17317.349609375,8552200,0.013456891603417453
2022-08-01,17598.80078125,17614.19921875,17396.0,17487.650390625,7583100,0.011381738215306747
2022-08-02,17618.25,17656.900390625,17489.80078125,17576.05078125,11291400,0.0011051445488672318
2022-08-03,17646.0,17665.349609375,17487.69921875,17621.25,11015000,0.0015750713039035524
2022-08-04,17652.94921875,17753.849609375,17420.400390625,17723.5,9976400,0.0003938126912614859
2022-08-05,17655.5,17747.400390625,17625.349609375,17699.349609375,10797000,0.0001444960396357331
2022-08-08,17784.80078125,17799.900390625,17621.150390625,17664.19921875,6014000,0.007323541176970316
2022-08-10,17784.900390625,17829.44921875,17695.80078125,17829.44921875,7221800,5.6008147757413695e-06
2022-08-11,17913.94921875,17962.349609375,17883.099609375,17955.900390625,6411900,0.00725608945175904
2022-08-12,17956.80078125,17982.900390625,17857.75,17916.650390625,8538000,0.002392077926353986
2022-08-16,18107.25,18118.44921875,18028.099609375,18056.25,0,0.008378397721441333
2022-08-17,18235.55078125,18258.150390625,18125.849609375,18154.19921875,7709600,0.007085602797222146
2022-08-18,18264.400390625,18277.099609375,18156.30078125,18195.650390625,7717700,0.0015820530852659331
2022-08-19,18071.099609375,18304.69921875,18026.599609375,18281.599609375,8159000,-0.010583472608781674
2022-08-22,17792.44921875,18007.099609375,17767.25,18001.30078125,7035400,-0.015419669895485488
2022-08-23,17878.400390625,17926.94921875,17644.599609375,17654.5,6893300,0.004830766738084691
2022-08-24,17917.30078125,17933.099609375,17790.900390625,17832.849609375,5700300,0.00217583171732727
2022-08-25,17847.650390625,18044.849609375,17813.80078125,17992.80078125,5921900,-0.003887326080828424
2022-08-26,17893.80078125,18017.44921875,17855.94921875,17949.099609375,5856800,0.0025857964278166445
2022-08-29,17666.44921875,17730.099609375,17486.849609375,17499.75,5228300,-0.012705604878435306
2022-08-30,18112.400390625,18131.30078125,17766.849609375,17776.75,6883700,0.025242829860892213
2022-09-01,17924.30078125,18063.900390625,17850.150390625,17858.44921875,7096900,-0.01038512871393682
2022-09-02,17916.0,18029.400390625,17871.19921875,17989.5,5657700,-0.000463102095379031
2022-09-05,18021.650390625,18041.650390625,17922.94921875,17928.80078125,4759400,0.005896985411085076
2022-09-06,18031.30078125,18125.05078125,17955.25,18061.900390625,6336300,0.0005354887269382047
2022-09-07,18008.099609375,18036.75,17874.650390625,17906.650390625,6291200,-0.001286716480217831
2022-09-08,18168.849609375,18178.19921875,18067.849609375,18135.849609375,6403300,0.008926538806810713
2022-09-09,18198.099609375,18298.900390625,18148.5,18298.900390625,6253900,0.0016098982945462748
2022-09-12,18319.80078125,18352.80078125,18255.55078125,18257.849609375,4986700,0.006687575872609486
2022-09-13,18453.69921875,18471.05078125,18393.44921875,18429.05078125,6774800,0.007308946156065366
2022-09-14,18405.599609375,18486.94921875,18147.599609375,18147.599609375,8179600,-0.0026065022955467088
2022-09-15,18316.900390625,18505.19921875,18282.75,18459.900390625,6727500,-0.00481914312124998
2022-09-16,17938.099609375,18259.099609375,17898.30078125,18239.150390625,10463300,-0.020680397511135595
2022-09-19,18025.25,18080.650390625,17828.75,17958.30078125,6334600,0.004858395957365147
2022-09-20,18222.099609375,18329.0,18161.349609375,18180.900390625,5992100,0.010920769996255242
2022-09-21,18091.900390625,18255.44921875,18041.150390625,18180.55078125,5441200,-0.007145127155545494
2022-09-22,18030.400390625,18111.44921875,17914.150390625,17988.5,5713100,-0.0033993112206094356
2022-09-23,17718.44921875,18050.099609375,17686.05078125,18004.94921875,6831400,-0.017301400141796153
2022-09-26,17374.80078125,17576.400390625,17329.30078125,17549.0,8318700,-0.019394950046550563
2022-09-27,17366.400390625,17544.150390625,17290.849609375,17469.900390625,6513500,-0.00048348126293717986
2022-09-28,17219.55078125,17401.400390625,17179.25,17229.0,6215300,-0.008455961285694813
2022-09-29,17167.75,17403.55078125,17139.25,17361.849609375,7470600,-0.0030082539264848496
2022-09-30,17438.599609375,17518.099609375,17080.650390625,17146.94921875,7249400,0.01577665153412644
2022-10-03,17190.900390625,17469.900390625,17137.30078125,17448.69921875,5310300,-0.01420407740864904
2022-10-04,17589.30078125,17602.05078125,17444.400390625,17470.75,4709500,0.023175074113178207
2022-10-06,17662.80078125,17750.599609375,17647.400390625,17700.849609375,5130000,0.004178676623595612
2022-10-07,17641.44921875,17660.150390625,17532.900390625,17624.599609375,5416900,-0.001208843533052062
2022-10-10,17553.150390625,17596.150390625,17380.599609375,17419.19921875,4502900,-0.005005191298635081
2022-10-11,17285.849609375,17585.75,17251.150390625,17582.19921875,4946900,-0.015228080162337343
2022-10-12,17423.400390625,17440.44921875,17249.900390625,17330.80078125,4519900,0.007957420917014124
2022-10-13,17302.150390625,17417.150390625,17247.400390625,17393.0,4463500,-0.006959031950229511
2022-10-14,17432.55078125,17620.849609375,17418.55078125,17612.849609375,4191100,0.007536658026950027
2022-10-17,17560.5,17580.25,17335.5,17395.19921875,3962800,0.0073396727969161635
2022-10-18,17741.19921875,17774.0,17681.849609375,17685.150390625,5266900,0.010290095313345349
2022-10-19,17756.25,17862.05078125,17721.25,17822.650390625,4057100,0.0008483519667652484
2022-10-20,17829.44921875,17850.80078125,17665.900390625,17670.599609375,4778400,0.00412244808166129
2022-10-21,17808.80078125,17915.25,17751.25,17887.94921875,5003500,-0.0011581085453994389
2022-10-24,17951.30078125,18008.5,17926.94921875,17973.75,799600,0.008001661748613165
2022-10-25,17887.400390625,18027.30078125,17871.0,18023.900390625,4959400,-0.0035596523841738836
2022-10-27,17989.0,18027.94921875,17899.650390625,18002.05078125,5776500,0.005679953886885025
2022-10-28,18017.19921875,18065.05078125,17950.099609375,18011.30078125,4682000,0.001567581230196291
2022-10-31,18243.400390625,18256.650390625,18125.099609375,18133.75,4819400,0.012554735568422792
2022-11-01,18383.19921875,18397.55078125,18290.349609375,18354.900390625,5764400,0.007662980866047331
2022-11-02,18322.400390625,18413.900390625,18287.349609375,18413.0,4681600,-0.0033073039899925716
2022-11-03,18297.400390625,18344.05078125,18198.0,18206.900390625,4025000,-0.0013644500429534911
2022-11-04,18361.44921875,18377.25,18254.650390625,18301.94921875,4944100,0.0035004332177053232
2022-11-07,18450.150390625,18496.94921875,18309.400390625,18456.44921875,6857500,0.004830837196903914
2022-11-09,18406.25,18538.05078125,18363.849609375,18534.650390625,6239000,-0.0023794055709869255
2022-11-10,18267.099609375,18356.25,18202.150390625,18302.349609375,5316500,-0.007559953310696144
2022-11-11,18573.349609375,18586.150390625,18498.900390625,18505.94921875,10059200,0.016765113594871206
2022-11-14,18568.400390625,18626.150390625,18547.05078125,18603.94921875,6683700,-0.00026646883056047344
2022-11-15,18635.400390625,18656.55078125,18516.80078125,18603.650390625,4796000,0.003608280659104457
2022-11-16,18615.5,18657.5,18546.94921875,18632.69921875,4859100,-0.001067881033294693
2022-11-17,18532.44921875,18618.900390625,18501.150390625,18569.599609375,4945200,-0.004461377951169743
2022-11-18,18483.19921875,18587.849609375,18385.44921875,18575.75,4610900,-0.002657500874205687
2022-11-21,18334.650390625,18439.650390625,18305.75,18426.099609375,4374600,-0.008036965157758313
2022-11-22,18407.5,18421.849609375,18307.849609375,18353.19921875,4207100,0.003973329614850529
2022-11-23,18433.80078125,18487.400390625,18411.099609375,18487.25,4287700,0.0014288078908053503
2022-11-24,18627.25,18665.94921875,18462.94921875,18492.30078125,4756000,0.010494266540341801
2022-11-25,18652.05078125,18677.099609375,18583.849609375,18673.80078125,4599100,0.0013314247272142588
2022-11-28,18696.75,18751.0,18521.599609375,18582.55078125,4493700,0.0023964774315827775
2022-11-29,18758.349609375,18815.900390625,18689.599609375,18691.55078125,4185500,0.003294669360985214
2022-11-30,18919.55078125,18980.75,18762.599609375,18771.349609375,11353300,0.008593569009633706
2022-12-01,18973.05078125,19039.400390625,18939.599609375,19034.19921875,6230000,0.0028277627000012906
2022-12-02,18870.25,18948.150390625,18812.599609375,18925.849609375,5438000,-0.005418252574941329
2022-12-05,18867.650390625,18905.599609375,18755.5,18898.0,5463700,-0.00013776231766937652
2022-12-06,18821.55078125,18832.599609375,18760.19921875,18777.599609375,4247700,-0.0024433147965210456
2022-12-07,18754.0,18858.30078125,18721.849609375,18826.349609375,3932900,-0.003589012512045131
2022-12-08,18802.0,18820.349609375,18739.0,18770.80078125,4408000,0.0025594539831501617
2022-12-09,18687.650390625,18861.30078125,18594.69921875,18859.400390625,5196900,-0.006081779032815704
2022-12-12,18690.80078125,18711.19921875,18536.44921875,18605.19921875,3950100,0.00016858141923403736
2022-12-13,18781.650390625,18793.69921875,18688.94921875,18724.05078125,3580000,0.004860659018212754
2022-12-14,18837.25,18872.650390625,18817.349609375,18842.849609375,4008800,0.002960315425887927
2022-12-15,18604.44921875,18833.650390625,18576.0,18795.55078125,3765100,-0.012358533291749074
2022-12-16,18446.30078125,18624.650390625,18432.0,18512.150390625,5366500,-0.008500570785004213
2022-12-19,18604.5,18616.44921875,18419.44921875,18466.69921875,3298400,0.008576202926865673
2022-12-20,18570.400390625,18589.5,18391.19921875,18532.94921875,3434100,-0.001832868895966011
2022-12-21,18361.150390625,18664.75,18324.400390625,18621.30078125,4032100,-0.011267931525355657
2022-12-22,18277.849609375,18484.94921875,18212.5,18447.0,4344600,-0.004536795324792564
2022-12-23,17888.05078125,18193.0,17855.150390625,18128.5,5423600,-0.021326295841993637
2022-12-27,18263.55078125,18280.5,18097.75,18214.94921875,3962900,0.02099166670488173
2022-12-28,18270.94921875,18317.400390625,18200.19921875,18220.349609375,3999100,0.00040509305055813627
2022-12-29,18343.599609375,18387.599609375,18124.80078125,18192.19921875,4684900,0.003976278941788314
2022-12-30,18258.75,18434.19921875,18232.30078125,18422.400390625,3520500,-0.004625570290557102
2023-01-02,18334.30078125,18350.900390625,18237.44921875,18290.19921875,3910028500,0.004137784966112168
2023-01-03,18376.5,18398.94921875,18298.55078125,18310.650390625,3733900,0.0023016541101559262
2023-01-04,18173.44921875,18385.900390625,18153.05078125,18375.650390625,4360600,-0.011049480654640398
2023-01-05,18150.0,18256.30078125,18032.44921875,18236.55078125,4328300,-0.0012903009477037708
2023-01-06,18013.94921875,18200.30078125,17951.80078125,18165.94921875,4026200,-0.007495910812672202
2023-01-09,18248.55078125,18276.25,18098.0,18111.30078125,4219800,0.013023327625227843
2023-01-10,18081.0,18274.400390625,18008.30078125,18270.0,4623800,-0.00918159382947581
2023-01-11,18054.30078125,18135.30078125,17988.19921875,18094.650390625,4395000,-0.0014766450279298793
2023-01-12,18028.30078125,18105.150390625,17932.75,18080.55078125,4351000,-0.0014401000800320363
